periodo,trimestre,entidad_federativa,sexo,poblacion_ocupada,poblacion_edad_trabajar,tasa_neta_ocupacion
2007,4,Coahuila,Mujeres,393215.0,961475.0,40.89705921
2007,4,Colima,Hombres,171551.0,216868.0,79.10387886
2007,4,Colima,Mujeres,112575.0,238063.0,47.28790278
2007,4,Chiapas,Hombres,1147412.0,1347651.0,85.14162791
2007,4,Chiapas,Mujeres,501375.0,1563899.0,32.05929539
2007,4,Chihuahua,Hombres,922745.0,1172206.0,78.71867232
2007,4,Chihuahua,Mujeres,467737.0,1189940.0,39.30761215
2007,4,Ciudad de México,Hombres,2256222.0,3060442.0,73.72209635
2007,4,Ciudad de México,Mujeres,1708435.0,3658499.0,46.69770307
2007,4,Durango,Hombres,412462.0,525199.0,78.53442219
2007,4,Durango,Mujeres,202298.0,575077.0,35.17755014
2007,4,Guanajuato,Hombres,1256641.0,1624459.0,77.35750795
2007,4,Guanajuato,Mujeres,758678.0,1950971.0,38.88720027
2007,4,Guerrero,Hombres,778013.0,958106.0,81.20322804
2007,4,Guerrero,Mujeres,532314.0,1187031.0,44.84415319
2007,4,Hidalgo,Hombres,604182.0,767250.0,78.74643206
2007,4,Hidalgo,Mujeres,383665.0,957493.0,40.06974464
2007,4,Jalisco,Hombres,1876858.0,2322195.0,80.82258381
2007,4,Jalisco,Mujeres,1188839.0,2611302.0,45.52667596
2007,4,México,Hombres,3650252.0,4826105.0,75.63556947
2007,4,México,Mujeres,2112178.0,5448048.0,38.7694455
2007,4,Michoacán,Hombres,1026710.0,1264757.0,81.17843981
2007,4,Michoacán,Mujeres,646188.0,1580526.0,40.88436381
2007,4,Morelos,Hombres,429788.0,561697.0,76.51598638
2007,4,Morelos,Mujeres,303263.0,654828.0,46.31185594
2007,4,Nayarit,Hombres,272461.0,337847.0,80.64626887
2007,4,Nayarit,Mujeres,176434.0,379023.0,46.54968168
2007,4,Nuevo León,Hombres,1259718.0,1599324.0,78.76565349
2007,4,Nuevo León,Mujeres,719808.0,1612481.0,44.6397818
2007,4,Oaxaca,Hombres,860921.0,1098020.0,78.40667747
2007,4,Oaxaca,Mujeres,593957.0,1356787.0,43.77673135
2007,4,Puebla,Hombres,1334310.0,1672956.0,79.75762662
2007,4,Puebla,Mujeres,934978.0,2113280.0,44.24297774
2007,4,Querétaro,Hombres,419894.0,540820.0,77.64024999
2007,4,Querétaro,Mujeres,274715.0,640856.0,42.86688429
2007,4,Quintana Roo,Hombres,361734.0,426216.0,84.8710513
2007,4,Quintana Roo,Mujeres,225417.0,424891.0,53.05290063
2007,4,San Luis Potosí,Hombres,628717.0,799209.0,78.6674074
2007,4,San Luis Potosí,Mujeres,370992.0,899336.0,41.25176797
2007,4,Sinaloa,Hombres,721205.0,924824.0,77.98294594
