periodo,trimestre,entidad_federativa,sexo,poblacion_ocupada_asalariada,poblacion_ocupada,tasa_trabajo_asalariado
2006,3,Querétaro,Hombres,251862.0,387235.0,65.0411249
2006,3,Querétaro,Mujeres,173018.0,253551.0,68.23794818
2006,3,Quintana Roo,Hombres,226163.0,341692.0,66.1891411
2006,3,Quintana Roo,Mujeres,128933.0,201888.0,63.86362736
2006,3,San Luis Potosí,Hombres,334116.0,605248.0,55.20315639
2006,3,San Luis Potosí,Mujeres,198127.0,335281.0,59.09282065
2006,3,Sinaloa,Hombres,398681.0,701287.0,56.84990596
2006,3,Sinaloa,Mujeres,227490.0,388808.0,58.50959857
2006,3,Sonora,Hombres,383193.0,594752.0,64.42903933
2006,3,Sonora,Mujeres,254708.0,362988.0,70.16981278
2006,3,Tabasco,Hombres,354647.0,529794.0,66.9405467
2006,3,Tabasco,Mujeres,144050.0,224925.0,64.04357008
2006,3,Tamaulipas,Hombres,515551.0,790692.0,65.20250616
2006,3,Tamaulipas,Mujeres,341324.0,486890.0,70.10289799
2006,3,Tlaxcala,Hombres,157441.0,267700.0,58.81247665
2006,3,Tlaxcala,Mujeres,91413.0,159928.0,57.15884648
2006,3,Veracruz,Hombres,1113012.0,1861126.0,59.80315143
2006,3,Veracruz,Mujeres,571589.0,956144.0,59.78063974
2006,3,Yucatán,Hombres,302473.0,495627.0,61.02835398
2006,3,Yucatán,Mujeres,182864.0,318449.0,57.42332367
2006,3,Zacatecas,Hombres,167686.0,346245.0,48.42986902
2006,3,Zacatecas,Mujeres,108899.0,198907.0,54.74870165
2006,4,Nacional,Hombres,16098581.0,26996701.0,59.63166018
2006,4,Nacional,Mujeres,9954352.0,16113207.0,61.77759648
2006,4,Aguascalientes,Hombres,189096.0,260411.0,72.61444409
2006,4,Aguascalientes,Mujeres,118806.0,163337.0,72.73673448
2006,4,Baja California,Hombres,492716.0,757504.0,65.04467303
2006,4,Baja California,Mujeres,337349.0,454089.0,74.29138341
2006,4,Baja California Sur,Hombres,114327.0,162585.0,70.31829505
2006,4,Baja California Sur,Mujeres,61335.0,83090.0,73.81754724
2006,4,Campeche,Hombres,119985.0,212398.0,56.49064492
2006,4,Campeche,Mujeres,68723.0,112919.0,60.86043978
2006,4,Coahuila,Hombres,492848.0,678099.0,72.68083274
2006,4,Coahuila,Mujeres,267201.0,369072.0,72.39806867
2006,4,Colima,Hombres,105838.0,163365.0,64.78621492
2006,4,Colima,Mujeres,67737.0,107634.0,62.93271643
